room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
4446197,1454,23074555,Entire home/apt,NA,Belgium,Brussel,Brussel,21,4.5,2,0,NA,76,NA,Feel at home in the EU district!,2017/07/15 01:50:21,50.846073,4.38242,0101000020E61000006458C51B99871140A983BC1E4C6C4940
13838375,1454,11503548,Entire home/apt,NA,Belgium,Brussel,Elsene,1,0,4,1,NA,81,NA,125m2 apart in the best neighborhood of Brussels,2017/07/15 01:50:21,50.820456,4.383485,0101000020E6100000B806B64AB08811404BE7C3B304694940
16618173,1454,21803731,Entire home/apt,NA,Belgium,Brussel,Etterbeek,1,0,4,2,NA,70,NA,Schuman Rois Chevalier,2017/07/15 01:50:21,50.83219,4.399019,0101000020E610000035EECD6F989811407407B133856A4940
7616905,1454,39947035,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,0,0,3,2,NA,65,NA,APPARTEMENT 2 CH. NEUF ET LUMINEUX,2017/07/15 01:50:16,50.872613,4.385891,0101000020E61000006F48A302278B1140408864C8B16F4940
5956059,1454,30917531,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,7,4.5,4,2,NA,64,NA,Nice place for a relax stay,2017/07/15 01:50:16,50.85415,4.379242,0101000020E61000001A14CD03588411406FF085C9546D4940
16170421,1454,5937325,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,3,5,4,1,NA,82,NA,Top floor 1 bedroom apartment,2017/07/15 01:50:16,50.849729,4.397952,0101000020E6100000DC82A5BA809711403DBB7CEBC36C4940
4451021,1454,8245810,Entire home/apt,NA,Belgium,Brussel,Etterbeek,19,4.5,4,1,NA,63,NA,"Bright, spacious flat in Brussels",2017/07/15 01:50:16,50.827825,4.383031,0101000020E6100000AD6A494739881140D5E76A2BF6694940
11687668,1454,5583501,Entire home/apt,NA,Belgium,Brussel,Brussel,8,4.5,2,0,NA,65,NA,Studio near EU HQ-City Center - A1G,2017/07/15 01:50:16,50.848957,4.386703,0101000020E6100000730F09DFFB8B1140EA5A7B9FAA6C4940
9680445,1454,6352717,Entire home/apt,NA,Belgium,Brussel,Brussel,9,5,3,1,NA,82,NA,La maison des orchidées,2017/07/15 01:50:16,50.842072,4.377988,0101000020E61000002E1F49490F8311404C70EA03C96B4940
18429432,1454,20525979,Entire home/apt,NA,Belgium,Brussel,Etterbeek,1,0,3,1,NA,76,NA,Chill appartment,2017/07/15 01:50:16,50.832392,4.385022,0101000020E610000049F60835438A1140DCB930D28B6A4940
17985699,1454,31859699,Entire home/apt,NA,Belgium,Brussel,Brussel,11,5,4,1,NA,70,NA,Nice place in EU quarter,2017/07/15 01:50:16,50.847243,4.382617,0101000020E6100000149337C0CC871140E9616875726C4940
3309344,1454,16710268,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,1,0,2,1,NA,65,NA,"Appart 80m² Balcon, Bien Desservi",2017/07/15 01:50:11,50.872268,4.380241,0101000020E6100000B2648EE55D85114075AC527AA66F4940
6720844,1454,8337861,Entire home/apt,NA,Belgium,Brussel,Elsene,14,4.5,2,1,NA,82,NA,Cosy and bright flat with terrace,2017/07/15 01:50:11,50.816781,4.380679,0101000020E61000008F183DB7D0851140417FA1478C684940
8733897,1454,24444714,Entire home/apt,NA,Belgium,Brussel,Elsene,3,5,3,1,NA,65,NA,bel appartement 1chambre à Ixelles,2017/07/15 01:50:11,50.833355,4.373287,0101000020E61000007B1684F23E7E1140A27A6B60AB6A4940
6299914,1454,22883242,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,2,0,2,1,NA,76,NA,Cozy place in the centre of BXL,2017/07/15 01:50:11,50.851862,4.392335,0101000020E6100000FD4D2844C0911140425A63D0096D4940
535101,1454,2629193,Entire home/apt,NA,Belgium,Brussel,Etterbeek,3,4,2,1,NA,71,NA,Apt with garden in Merode/ EU HQ,2017/07/15 01:50:11,50.832903,4.39121,0101000020E6100000FF78AF5A99901140C2DEC4909C6A4940
8157762,1454,43064105,Entire home/apt,NA,Belgium,Brussel,Etterbeek,4,4,4,2,NA,76,NA,Grand Duplex Etterbeek proche Bruss,2017/07/15 01:50:11,50.829811,4.382283,0101000020E61000005F44DB3175871140376E313F376A4940
18670927,1454,95081155,Entire home/apt,NA,Belgium,Brussel,Sint-Lambrechts-Woluwe,0,0,4,1,NA,66,NA,Cosy apartment in a great area of Brussels,2017/07/15 01:50:11,50.840784,4.412902,0101000020E6100000DDCF29C8CFA61140028063CF9E6B4940
7078696,1454,4659222,Entire home/apt,NA,Belgium,Brussel,Elsene,2,0,2,1,NA,70,NA,2 pièces à IXL!! 20 mn du centre!,2017/07/15 01:50:11,50.820194,4.390124,0101000020E6100000F08975AA7C8F11400E30F31DFC684940
7378400,1454,3593158,Entire home/apt,NA,Belgium,Brussel,Elsene,5,5,2,1,NA,65,NA,Lovely artist nest with amazingview,2017/07/15 01:50:11,50.82877,4.377453,0101000020E6100000BD1B0B0A83821140F5F3A622156A4940
11402748,1454,45746500,Entire home/apt,NA,Belgium,Brussel,Elsene,8,5,2,1,NA,65,NA,Central and quiet flat,2017/07/15 01:50:11,50.832536,4.373636,0101000020E6100000DB6E826F9A7E11400F5F268A906A4940
18012833,1454,58724641,Entire home/apt,NA,Belgium,Brussel,Elsene,1,0,2,0,NA,65,NA,Lovely studio in the heart of Brussels,2017/07/15 01:50:11,50.826918,4.375142,0101000020E6100000946C753925801140A33CF372D8694940
9109348,1454,35945751,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,7,4.5,2,1,NA,71,NA,Nice apartment  in the UE area,2017/07/15 01:50:11,50.849336,4.392132,0101000020E61000003CDC0E0D8B91114061A8C30AB76C4940
1513672,1454,8082639,Entire home/apt,NA,Belgium,Brussel,Etterbeek,6,4.5,2,1,NA,66,NA,'Karibu'! Cosy 70m² furnished apartment.,2017/07/15 01:50:08,50.832485,4.398746,0101000020E6100000ADA415DF509811408DB454DE8E6A4940
6776651,1454,35476205,Entire home/apt,NA,Belgium,Brussel,Ukkel,21,4.5,4,0,NA,81,NA,Studio entrée séparée à l'arrière d'une villa,2017/07/15 01:50:08,50.782573,4.374801,0101000020E61000004A0856D5CB7F1140C6DD205A2B644940
3755193,1454,1675782,Entire home/apt,NA,Belgium,Halle-Vilvoorde,Overijse,6,4,2,1,NA,65,NA,Studio Brussels Green Area,2017/07/15 01:50:08,50.785768,4.455699,0101000020E6100000954737C2A2D21140251FBB0B94644940
11784452,1454,62753986,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,1,0,4,1,NA,71,NA,Appartement agréable de vacances...,2017/07/15 01:50:08,50.869303,4.38979,0101000020E61000003A3B191C258F114048A81952456F4940
7290405,1454,9626884,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,24,4,6,1,NA,72,NA,La Charlotière -Up to 8p Low Budget,2017/07/15 01:50:08,50.850127,4.391167,0101000020E6100000051901158E9011402A3927F6D06C4940
6953845,1454,36456826,Entire home/apt,NA,Belgium,Brussel,Etterbeek,0,0,4,1,NA,65,NA,Sous les tropiques,2017/07/15 01:50:08,50.830926,4.386986,0101000020E6100000180AD80E468C1140B3B27DC85B6A4940
6762074,1454,24444714,Entire home/apt,NA,Belgium,Brussel,Elsene,13,4,4,1,NA,67,NA,superbe loft de 60 m2 à Ixelles,2017/07/15 01:50:08,50.83459,4.374811,0101000020E610000067B96C74CE7F1140C9C859D8D36A4940
4434387,1454,2235003,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,0,0,2,1,NA,81,NA,Appartement lumineux 80m2 (1ch) UE,2017/07/15 01:50:08,50.851552,4.394673,0101000020E6100000F374AE2825941140F46BEBA7FF6C4940
3824884,1454,19678090,Entire home/apt,NA,Belgium,Brussel,Etterbeek,6,4.5,2,1,NA,71,NA,Flat near the European Institutions,2017/07/15 01:50:08,50.839827,4.39674,0101000020E6100000670FB402439611401EA67D737F6B4940
6257333,1454,32507661,Entire home/apt,NA,Belgium,Brussel,Elsene,25,5,3,2,NA,65,NA,"""cosy home""",2017/07/15 01:50:05,50.82637,4.37927,0101000020E61000006A6AD95A5F841140A032FE7DC6694940
3837533,1454,19765263,Entire home/apt,NA,Belgium,Brussel,Brussel,19,5,2,1,NA,71,NA,Lovely apartment Brussels,2017/07/15 01:50:05,50.84609,4.380597,0101000020E6100000A6D24F38BB8511407FBC57AD4C6C4940
6109613,1454,31701383,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,0,0,4,2,NA,76,NA,Superbe duplex lumineux 2 ch 130m²,2017/07/15 01:50:05,50.862744,4.379387,0101000020E6100000371C96067E841140FD6838656E6E4940
18413103,1454,46049348,Entire home/apt,NA,Belgium,Brussel,Etterbeek,2,0,4,1,NA,76,NA,Light duplex with terrace,2017/07/15 01:50:05,50.834384,4.403644,0101000020E610000010E84CDA549D114020274C18CD6A4940
6117723,1454,31723665,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,39,4.5,2,1,NA,68,NA,"Luminous, quiet appartment Brussels",2017/07/15 01:50:05,50.854377,4.378624,0101000020E61000003EEC8502B683114030BABC395C6D4940
16746482,1454,79250476,Entire home/apt,NA,Belgium,Brussel,Elsene,2,0,2,1,NA,82,NA,Joli apprt prêt de parlement eu,2017/07/15 01:50:05,50.822324,4.388232,0101000020E6100000EE0A7DB08C8D1140A35BAFE941694940
10115534,1454,51909760,Entire home/apt,NA,Belgium,Brussel,Elsene,0,0,4,2,NA,71,NA,Duplex 90m2 place Eugène Flagey,2017/07/15 01:50:05,50.826417,4.376414,0101000020E6100000B306EFAB72811140E1ED4108C8694940
6268588,1454,16436641,Entire home/apt,NA,Belgium,Brussel,Schaarbeek,12,4,6,1,NA,82,NA,Nice duplex in Brussels,2017/07/15 01:50:05,50.855126,4.38982,0101000020E6100000904E5DF92C8F1140CAFACDC4746D4940
13270248,1454,74751394,Entire home/apt,NA,Belgium,Brussel,Oudergem,0,0,3,2,NA,82,NA,"Appart spacieux,super équipé et proche du centre",2017/07/15 01:50:01,50.821242,4.406164,0101000020E61000000C40A374E99F1140020D36751E694940
19731580,1454,132927355,Entire home/apt,NA,Belgium,Brussel,Elsene,0,0,2,0,NA,82,NA,OBOSOUK STUDIO,2017/07/15 01:50:01,50.812852,4.388432,0101000020E610000026E1421EC18D11407D3ECA880B684940
6814894,1454,3885557,Entire home/apt,NA,Belgium,Brussel,Elsene,3,4.5,2,1,NA,76,NA,The must in Ixelles -near the trendy Flagey place,2017/07/15 01:50:01,50.828403,4.379064,0101000020E6100000205D6C5A298411404374081C096A4940
